experiment,method,delta_ratio,trial,hausdorff,status,predicted_num_chgpts,estimated_changepoints,true_changepoints
M1,WERM,8.0,0,inf,ok,0,,"640,1120"
M1,WERM,8.0,1,inf,ok,0,,"640,1120"
M1,WERM,8.0,2,inf,ok,0,,"640,1120"
M1,WERM,8.0,3,inf,ok,0,,"640,1120"
M1,WERM,8.0,4,inf,ok,0,,"640,1120"
M1,WERM,8.0,5,0.009375,ok,2,"655,1129","640,1120"
M1,WERM,8.0,6,inf,ok,0,,"640,1120"
M1,WERM,8.0,7,inf,ok,0,,"640,1120"
M1,WERM,8.0,8,inf,ok,0,,"640,1120"
M1,WERM,8.0,9,inf,ok,0,,"640,1120"
M1,WERM,10.0,0,inf,ok,0,,"800,1400"
M1,WERM,10.0,1,inf,ok,0,,"800,1400"
M1,WERM,10.0,2,0.2985,ok,1,803,"800,1400"
M1,WERM,10.0,3,0.0085,ok,2,"791,1417","800,1400"
M1,WERM,10.0,4,0.2945,ok,1,811,"800,1400"
M1,WERM,10.0,5,0.0055,ok,2,"811,1402","800,1400"
M1,WERM,10.0,6,inf,ok,0,,"800,1400"
M1,WERM,10.0,7,inf,ok,0,,"800,1400"
M1,WERM,10.0,8,inf,ok,0,,"800,1400"
M1,WERM,10.0,9,inf,ok,0,,"800,1400"
M1,WERM,12.0,0,0.0033333333333333335,ok,2,"952,1680","960,1680"
M1,WERM,12.0,1,0.0008333333333333334,ok,2,"962,1679","960,1680"
M1,WERM,12.0,2,0.0016666666666666668,ok,2,"960,1684","960,1680"
M1,WERM,12.0,3,0.02,ok,2,"961,1632","960,1680"
M1,WERM,12.0,4,inf,ok,0,,"960,1680"
M1,WERM,12.0,5,0.0020833333333333333,ok,2,"965,1678","960,1680"
M1,WERM,12.0,6,0.0033333333333333335,ok,2,"957,1672","960,1680"
M1,WERM,12.0,7,0.0016666666666666668,ok,2,"960,1676","960,1680"
M1,WERM,12.0,8,0.3,ok,1,960,"960,1680"
M1,WERM,12.0,9,0.00125,ok,2,"963,1683","960,1680"
M2,WERM,0.5,0,0.39,ok,3,"1,18,55","40,70"
M2,WERM,0.5,1,0.46,ok,1,24,"40,70"
M2,WERM,0.5,2,inf,ok,0,,"40,70"
M2,WERM,0.5,3,0.52,ok,1,18,"40,70"
M2,WERM,0.5,4,0.19,ok,1,51,"40,70"
M2,WERM,0.5,5,0.44,ok,1,26,"40,70"
M2,WERM,0.5,6,inf,ok,0,,"40,70"
M2,WERM,0.5,7,0.39,ok,3,"1,14,51","40,70"
M2,WERM,0.5,8,0.34,ok,2,"6,71","40,70"
M2,WERM,0.5,9,0.33,ok,2,"7,83","40,70"
M2,WERM,1.5,0,inf,ok,0,,"120,210"
M2,WERM,1.5,1,inf,ok,0,,"120,210"
M2,WERM,1.5,2,inf,ok,0,,"120,210"
M2,WERM,1.5,3,inf,ok,0,,"120,210"
M2,WERM,1.5,4,inf,ok,0,,"120,210"
M2,WERM,1.5,5,inf,ok,0,,"120,210"
M2,WERM,1.5,6,inf,ok,0,,"120,210"
M2,WERM,1.5,7,inf,ok,0,,"120,210"
M2,WERM,1.5,8,inf,ok,0,,"120,210"
M2,WERM,1.5,9,inf,ok,0,,"120,210"
M2,WERM,2.5,0,inf,ok,0,,"200,350"
M2,WERM,2.5,1,inf,ok,0,,"200,350"
