experiment,method,delta_ratio,trial,hausdorff,status,predicted_num_chgpts,estimated_changepoints,true_changepoints
M3,WERM,1.0,0,0.11,ok,1,88,66
M3,WERM,1.0,1,0.13,ok,1,92,66
M3,WERM,1.0,2,0.23,ok,1,112,66
M3,WERM,1.0,3,0.21,ok,1,108,66
M3,WERM,1.0,4,inf,ok,0,,66
M3,WERM,1.0,5,0.175,ok,1,101,66
M3,WERM,1.0,6,0.085,ok,1,83,66
M3,WERM,1.0,7,0.18,ok,1,102,66
M3,WERM,1.0,8,0.14,ok,1,94,66
M3,WERM,1.0,9,0.205,ok,1,107,66
M3,WERM,1.0,10,0.19,ok,1,104,66
M3,WERM,1.0,11,inf,ok,0,,66
M3,WERM,1.0,12,0.16,ok,1,98,66
M3,WERM,1.0,13,0.345,ok,1,135,66
M3,WERM,1.0,14,inf,ok,0,,66
M3,WERM,1.0,15,inf,ok,0,,66
M3,WERM,1.0,16,0.135,ok,1,93,66
M3,WERM,1.0,17,inf,ok,0,,66
M3,WERM,1.0,18,inf,ok,0,,66
M3,WERM,1.0,19,0.095,ok,1,85,66
M3,WERM,1.0,20,inf,ok,0,,66
M3,WERM,1.0,21,0.115,ok,1,89,66
M3,WERM,1.0,22,inf,ok,0,,66
M3,WERM,1.0,23,0.12,ok,1,90,66
M3,WERM,1.0,24,0.13,ok,1,92,66
M3,WERM,1.0,25,inf,ok,0,,66
M3,WERM,1.0,26,inf,ok,0,,66
M3,WERM,1.0,27,inf,ok,0,,66
M3,WERM,1.0,28,inf,ok,0,,66
M3,WERM,1.0,29,inf,ok,0,,66
M3,WERM,2.0,0,inf,ok,0,,133
M3,WERM,2.0,1,inf,ok,0,,133
M3,WERM,2.0,2,inf,ok,0,,133
M3,WERM,2.0,3,inf,ok,0,,133
M3,WERM,2.0,4,inf,ok,0,,133
M3,WERM,2.0,5,0.0575,ok,1,156,133
M3,WERM,2.0,6,0.235,ok,1,227,133
M3,WERM,2.0,7,inf,ok,0,,133
M3,WERM,2.0,8,inf,ok,0,,133
M3,WERM,2.0,9,0.195,ok,1,211,133
M3,WERM,2.0,10,0.1825,ok,1,206,133
M3,WERM,2.0,11,inf,ok,0,,133
M3,WERM,2.0,12,inf,ok,0,,133
M3,WERM,2.0,13,inf,ok,0,,133
M3,WERM,2.0,14,0.005,ok,1,135,133
M3,WERM,2.0,15,0.0825,ok,1,166,133
M3,WERM,2.0,16,inf,ok,0,,133
M3,WERM,2.0,17,inf,ok,0,,133
M3,WERM,2.0,18,0.2925,ok,1,250,133
M3,WERM,2.0,19,0.1425,ok,1,190,133
M3,WERM,2.0,20,inf,ok,0,,133
M3,WERM,2.0,21,inf,ok,0,,133
M3,WERM,2.0,22,inf,ok,0,,133
M3,WERM,2.0,23,inf,ok,0,,133
M3,WERM,2.0,24,0.145,ok,1,191,133
M3,WERM,2.0,25,inf,ok,0,,133
M3,WERM,2.0,26,0.055,ok,1,155,133
M3,WERM,2.0,27,0.07,ok,1,161,133
M3,WERM,2.0,28,inf,ok,0,,133
M3,WERM,2.0,29,0.065,ok,1,159,133
M3,WERM,3.0,0,inf,ok,0,,200
M3,WERM,3.0,1,0.06666666666666667,ok,1,240,200
M3,WERM,3.0,2,0.19,ok,1,314,200
M3,WERM,3.0,3,inf,ok,0,,200
M3,WERM,3.0,4,0.085,ok,1,251,200
M3,WERM,3.0,5,inf,ok,0,,200
M3,WERM,3.0,6,inf,ok,0,,200
M3,WERM,3.0,7,0.21666666666666667,ok,1,330,200
M3,WERM,3.0,8,inf,ok,0,,200
M3,WERM,3.0,9,0.10666666666666667,ok,1,264,200
M3,WERM,3.0,10,0.16,ok,1,296,200
M3,WERM,3.0,11,inf,ok,0,,200
M3,WERM,3.0,12,inf,ok,0,,200
M3,WERM,3.0,13,0.023333333333333334,ok,1,214,200
M3,WERM,3.0,14,inf,ok,0,,200
