experiment,method,delta_ratio,trial,hausdorff,status,predicted_num_chgpts,estimated_changepoints,true_changepoints
M1,WERM,8.0,0,0.00625,ok,2,"630,1121","640,1120"
M1,WERM,8.0,1,0.001875,ok,2,"637,1118","640,1120"
M1,WERM,8.0,2,0.000625,ok,2,"639,1121","640,1120"
M1,WERM,8.0,3,0.0075,ok,2,"628,1121","640,1120"
M1,WERM,8.0,4,0.009375,ok,2,"631,1135","640,1120"
M1,WERM,8.0,5,0.009375,ok,2,"655,1129","640,1120"
M1,WERM,8.0,6,0.000625,ok,2,"640,1119","640,1120"
M1,WERM,8.0,7,0.006875,ok,2,"634,1131","640,1120"
M1,WERM,8.0,8,0.00375,ok,2,"637,1126","640,1120"
M1,WERM,8.0,9,0.018125,ok,2,"650,1091","640,1120"
M1,WERM,10.0,0,0.004,ok,2,"808,1403","800,1400"
M1,WERM,10.0,1,0.001,ok,2,"800,1402","800,1400"
M1,WERM,10.0,2,0.0015,ok,2,"803,1402","800,1400"
M1,WERM,10.0,3,0.0085,ok,2,"791,1417","800,1400"
M1,WERM,10.0,4,0.041,ok,2,"801,1318","800,1400"
M1,WERM,10.0,5,0.0055,ok,2,"811,1402","800,1400"
M1,WERM,10.0,6,0.0195,ok,2,"800,1361","800,1400"
M1,WERM,10.0,7,0.001,ok,2,"800,1402","800,1400"
M1,WERM,10.0,8,0.037,ok,2,"726,1398","800,1400"
M1,WERM,10.0,9,0.033,ok,2,"800,1334","800,1400"
M1,WERM,12.0,0,0.0033333333333333335,ok,2,"952,1680","960,1680"
M1,WERM,12.0,1,0.0008333333333333334,ok,2,"962,1679","960,1680"
M1,WERM,12.0,2,0.0016666666666666668,ok,2,"960,1684","960,1680"
M1,WERM,12.0,3,0.02,ok,2,"961,1632","960,1680"
M1,WERM,12.0,4,0.005,ok,2,"948,1689","960,1680"
M1,WERM,12.0,5,0.0020833333333333333,ok,2,"965,1678","960,1680"
M1,WERM,12.0,6,0.0033333333333333335,ok,2,"957,1672","960,1680"
M1,WERM,12.0,7,0.0016666666666666668,ok,2,"960,1676","960,1680"
M1,WERM,12.0,8,0.0008333333333333334,ok,2,"960,1678","960,1680"
M1,WERM,12.0,9,0.00125,ok,2,"963,1683","960,1680"
M2,WERM,0.5,0,0.41,ok,2,"1,29","40,70"
M2,WERM,0.5,1,0.36,ok,2,"4,68","40,70"
M2,WERM,0.5,2,0.35,ok,2,"5,84","40,70"
M2,WERM,0.5,3,0.49,ok,2,"5,21","40,70"
M2,WERM,0.5,4,0.35,ok,2,"5,90","40,70"
M2,WERM,0.5,5,0.31,ok,2,"9,81","40,70"
M2,WERM,0.5,6,0.3,ok,2,"10,67","40,70"
M2,WERM,0.5,7,0.48,ok,2,"8,22","40,70"
M2,WERM,0.5,8,0.34,ok,2,"6,71","40,70"
M2,WERM,0.5,9,0.33,ok,2,"7,83","40,70"
M2,WERM,1.5,0,0.11,ok,2,"146,177","120,210"
M2,WERM,1.5,1,0.12333333333333334,ok,2,"157,192","120,210"
M2,WERM,1.5,2,0.17,ok,2,"124,159","120,210"
M2,WERM,1.5,3,0.13,ok,2,"159,193","120,210"
M2,WERM,1.5,4,0.11666666666666667,ok,2,"155,185","120,210"
M2,WERM,1.5,5,0.11333333333333333,ok,2,"154,184","120,210"
M2,WERM,1.5,6,0.12,ok,2,"144,174","120,210"
M2,WERM,1.5,7,0.12333333333333334,ok,2,"137,173","120,210"
M2,WERM,1.5,8,0.11,ok,2,"134,177","120,210"
M2,WERM,1.5,9,0.13666666666666666,ok,2,"139,169","120,210"
M2,WERM,2.5,0,0.13,ok,2,"219,285","200,350"
M2,WERM,2.5,1,0.116,ok,2,"197,292","200,350"
M2,WERM,2.5,2,0.158,ok,2,"213,271","200,350"
M2,WERM,2.5,3,0.004,ok,2,"201,348","200,350"
M2,WERM,2.5,4,0.032,ok,2,"216,337","200,350"
M2,WERM,2.5,5,0.002,ok,2,"200,349","200,350"
M2,WERM,2.5,6,0.148,ok,2,"214,276","200,350"
M2,WERM,2.5,7,0.176,ok,2,"200,262","200,350"
M2,WERM,2.5,8,0.108,ok,2,"200,296","200,350"
M2,WERM,2.5,9,0.076,ok,2,"203,312","200,350"
M2,WERM,3.5,0,0.02142857142857143,ok,2,"279,474","280,489"
M2,WERM,3.5,1,0.08142857142857143,ok,2,"282,432","280,489"
M2,WERM,3.5,2,0.008571428571428572,ok,2,"280,495","280,489"
M2,WERM,3.5,3,0.02857142857142857,ok,2,"281,469","280,489"
M2,WERM,3.5,4,0.03857142857142857,ok,2,"307,462","280,489"
M2,WERM,3.5,5,0.032857142857142856,ok,2,"279,466","280,489"
M2,WERM,3.5,6,0.004285714285714286,ok,2,"277,489","280,489"
M2,WERM,3.5,7,0.07428571428571429,ok,2,"288,437","280,489"
M2,WERM,3.5,8,0.022857142857142857,ok,2,"278,473","280,489"
M2,WERM,3.5,9,0.01,ok,2,"287,484","280,489"
M2,WERM,4.5,0,0.0022222222222222222,ok,2,"360,628","360,630"
M2,WERM,4.5,1,0.0,ok,2,"360,630","360,630"
M2,WERM,4.5,2,0.005555555555555556,ok,2,"364,625","360,630"
M2,WERM,4.5,3,0.01,ok,2,"369,621","360,630"
M2,WERM,4.5,4,0.10333333333333333,ok,2,"361,537","360,630"
M2,WERM,4.5,5,0.006666666666666667,ok,2,"360,624","360,630"
M2,WERM,4.5,6,0.0044444444444444444,ok,2,"360,634","360,630"
M2,WERM,4.5,7,0.0044444444444444444,ok,2,"358,626","360,630"
M2,WERM,4.5,8,0.0011111111111111111,ok,2,"361,630","360,630"
M2,WERM,4.5,9,0.0044444444444444444,ok,2,"361,626","360,630"
M3,WERM,1.0,0,0.11,ok,1,88,66
M3,WERM,1.0,1,0.13,ok,1,92,66
M3,WERM,1.0,2,0.23,ok,1,112,66
M3,WERM,1.0,3,0.21,ok,1,108,66
M3,WERM,1.0,4,0.235,ok,1,113,66
M3,WERM,1.0,5,0.175,ok,1,101,66
M3,WERM,1.0,6,0.085,ok,1,83,66
M3,WERM,1.0,7,0.18,ok,1,102,66
M3,WERM,1.0,8,0.14,ok,1,94,66
M3,WERM,1.0,9,0.205,ok,1,107,66
M3,WERM,2.0,0,0.2675,ok,1,240,133
M3,WERM,2.0,1,0.255,ok,1,235,133
M3,WERM,2.0,2,0.2025,ok,1,214,133
M3,WERM,2.0,3,0.21,ok,1,217,133
M3,WERM,2.0,4,0.2475,ok,1,232,133
M3,WERM,2.0,5,0.0575,ok,1,156,133
M3,WERM,2.0,6,0.235,ok,1,227,133
M3,WERM,2.0,7,0.1875,ok,1,208,133
M3,WERM,2.0,8,0.055,ok,1,155,133
M3,WERM,2.0,9,0.195,ok,1,211,133
M3,WERM,3.0,0,0.006666666666666667,ok,1,204,200
M3,WERM,3.0,1,0.06666666666666667,ok,1,240,200
M3,WERM,3.0,2,0.19,ok,1,314,200
M3,WERM,3.0,3,0.02666666666666667,ok,1,216,200
M3,WERM,3.0,4,0.085,ok,1,251,200
M3,WERM,3.0,5,0.17,ok,1,302,200
M3,WERM,3.0,6,0.08833333333333333,ok,1,253,200
M3,WERM,3.0,7,0.21666666666666667,ok,1,330,200
M3,WERM,3.0,8,0.21833333333333332,ok,1,331,200
M3,WERM,3.0,9,0.10666666666666667,ok,1,264,200
M3,WERM,4.0,0,0.1925,ok,1,420,266
M3,WERM,4.0,1,0.26625,ok,1,479,266
M3,WERM,4.0,2,0.13625,ok,1,375,266
M3,WERM,4.0,3,0.08,ok,1,330,266
M3,WERM,4.0,4,0.30125,ok,1,507,266
M3,WERM,4.0,5,0.1225,ok,1,364,266
M3,WERM,4.0,6,0.04125,ok,1,299,266
M3,WERM,4.0,7,0.16,ok,1,394,266
M3,WERM,4.0,8,0.15875,ok,1,393,266
M3,WERM,4.0,9,0.04625,ok,1,303,266
M3,WERM,5.0,0,0.017,ok,1,350,333
M3,WERM,5.0,1,0.043,ok,1,376,333
M3,WERM,5.0,2,0.143,ok,1,476,333
M3,WERM,5.0,3,0.189,ok,1,522,333
M3,WERM,5.0,4,0.135,ok,1,468,333
M3,WERM,5.0,5,0.135,ok,1,468,333
M3,WERM,5.0,6,0.098,ok,1,431,333
M3,WERM,5.0,7,0.066,ok,1,399,333
M3,WERM,5.0,8,0.105,ok,1,438,333
M3,WERM,5.0,9,0.113,ok,1,446,333
M3,WERM,6.0,0,0.145,ok,1,574,400
M3,WERM,6.0,1,0.14166666666666666,ok,1,570,400
M3,WERM,6.0,2,0.08,ok,1,496,400
M3,WERM,6.0,3,0.10916666666666666,ok,1,531,400
M3,WERM,6.0,4,0.0225,ok,1,373,400
M3,WERM,6.0,5,0.12583333333333332,ok,1,551,400
M3,WERM,6.0,6,0.015833333333333335,ok,1,381,400
M3,WERM,6.0,7,0.04083333333333333,ok,1,449,400
M3,WERM,6.0,8,0.07166666666666667,ok,1,486,400
M3,WERM,6.0,9,0.16333333333333333,ok,1,596,400
M3,WERM,7.0,0,0.10285714285714286,ok,1,610,466
M3,WERM,7.0,1,0.10642857142857143,ok,1,615,466
M3,WERM,7.0,2,0.0007142857142857143,ok,1,467,466
M3,WERM,7.0,3,0.15785714285714286,ok,1,687,466
M3,WERM,7.0,4,0.027142857142857142,ok,1,504,466
M3,WERM,7.0,5,0.027142857142857142,ok,1,504,466
M3,WERM,7.0,6,0.008571428571428572,ok,1,454,466
M3,WERM,7.0,7,0.15857142857142856,ok,1,688,466
M3,WERM,7.0,8,0.06142857142857143,ok,1,552,466
M3,WERM,7.0,9,0.09071428571428572,ok,1,593,466
