experiment,method,delta_ratio,mean_hausdorff,median_hausdorff,p25_hausdorff,p75_hausdorff,num_trials,mean_predicted_num_chgpts,median_predicted_num_chgpts,p25_predicted_num_chgpts,p75_predicted_num_chgpts,num_infinite_hausdorff,num_nan_hausdorff,num_finite_hausdorff
M3,WERM,1.0,0.16205882352941176,0.14,0.12,0.19,30,0.5666666666666667,1.0,0.0,1.0,13,0,17
M3,WERM,2.0,0.12729166666666666,0.11249999999999999,0.063125,0.18562499999999998,30,0.4,0.0,0.0,1.0,18,0,12
M3,WERM,3.0,0.12630952380952382,0.12416666666666668,0.08791666666666667,0.18,30,0.4666666666666667,0.0,0.0,1.0,16,0,14
M3,WERM,4.0,0.12727941176470586,0.10625,0.10125,0.16,30,0.5666666666666667,1.0,0.0,1.0,13,0,17
M3,WERM,5.0,0.10666666666666666,0.135,0.066,0.15,30,0.3,0.0,0.0,1.0,21,0,9
M3,WERM,6.0,0.10128205128205127,0.12333333333333334,0.07083333333333333,0.15166666666666667,30,0.43333333333333335,0.0,0.0,1.0,17,0,13
M3,WERM,7.0,0.0899404761904762,0.09142857142857143,0.0225,0.14982142857142855,30,0.4,0.0,0.0,1.0,18,0,12
M3,WERM,8.0,0.07319444444444445,0.056875,0.015625,0.104375,30,0.3,0.0,0.0,1.0,21,0,9
M3,WERM,9.0,0.07316239316239316,0.06666666666666667,0.04555555555555556,0.09111111111111111,30,0.43333333333333335,0.0,0.0,1.0,17,0,13
M3,WERM,10.0,0.0475,0.02275,0.007875,0.0875,30,0.3333333333333333,0.0,0.0,1.0,20,0,10
