experiment,method,delta_ratio,trial,hausdorff,status,predicted_num_chgpts,estimated_changepoints,true_changepoints
M2,WERM,0.5,0,0.59,ok,2,"1,11","40,70"
M2,WERM,0.5,1,0.38,ok,2,"2,42","40,70"
M2,WERM,0.5,2,0.31,ok,2,"9,91","40,70"
M2,WERM,0.5,3,0.29,ok,2,"11,64","40,70"
M2,WERM,0.5,4,0.36,ok,2,"4,41","40,70"
M2,WERM,0.5,5,0.35,ok,2,"5,64","40,70"
M2,WERM,0.5,6,0.31,ok,2,"9,75","40,70"
M2,WERM,0.5,7,0.33,ok,2,"7,78","40,70"
M2,WERM,0.5,8,0.33,ok,2,"7,92","40,70"
M2,WERM,0.5,9,0.47,ok,2,"2,23","40,70"
M2,WERM,0.5,10,0.37,ok,2,"3,54","40,70"
M2,WERM,0.5,11,0.37,ok,2,"3,55","40,70"
M2,WERM,0.5,12,0.3,ok,2,"10,90","40,70"
M2,WERM,0.5,13,0.3,ok,2,"10,96","40,70"
M2,WERM,0.5,14,0.36,ok,2,"4,91","40,70"
M2,WERM,0.5,15,0.38,ok,2,"2,80","40,70"
M2,WERM,0.5,16,0.29,ok,2,"11,64","40,70"
M2,WERM,0.5,17,0.32,ok,2,"8,87","40,70"
M2,WERM,0.5,18,0.36,ok,2,"4,96","40,70"
M2,WERM,0.5,19,0.32,ok,2,"8,72","40,70"
M2,WERM,0.5,20,0.39,ok,2,"1,82","40,70"
M2,WERM,0.5,21,0.37,ok,2,"3,72","40,70"
M2,WERM,0.5,22,0.37,ok,2,"3,84","40,70"
M2,WERM,0.5,23,0.38,ok,2,"2,94","40,70"
M2,WERM,0.5,24,0.38,ok,2,"2,78","40,70"
M2,WERM,0.5,25,0.3,ok,2,"10,67","40,70"
M2,WERM,0.5,26,0.38,ok,2,"2,81","40,70"
M2,WERM,0.5,27,0.35,ok,2,"5,67","40,70"
M2,WERM,0.5,28,0.35,ok,2,"5,44","40,70"
M2,WERM,0.5,29,0.36,ok,2,"4,92","40,70"
M2,WERM,1.5,0,0.11,ok,2,"146,177","120,210"
M2,WERM,1.5,1,0.12333333333333334,ok,2,"157,192","120,210"
M2,WERM,1.5,2,0.17,ok,2,"124,159","120,210"
M2,WERM,1.5,3,0.13,ok,2,"159,193","120,210"
M2,WERM,1.5,4,0.11666666666666667,ok,2,"155,185","120,210"
M2,WERM,1.5,5,0.11333333333333333,ok,2,"154,184","120,210"
M2,WERM,1.5,6,0.12,ok,2,"144,174","120,210"
M2,WERM,1.5,7,0.12333333333333334,ok,2,"137,173","120,210"
M2,WERM,1.5,8,0.11,ok,2,"134,177","120,210"
M2,WERM,1.5,9,0.13666666666666666,ok,2,"139,169","120,210"
M2,WERM,1.5,10,0.12,ok,2,"135,174","120,210"
M2,WERM,1.5,11,0.16666666666666666,ok,2,"123,160","120,210"
M2,WERM,1.5,12,0.11333333333333333,ok,2,"154,186","120,210"
M2,WERM,1.5,13,0.13,ok,2,"138,171","120,210"
M2,WERM,1.5,14,0.19333333333333333,ok,2,"120,152","120,210"
M2,WERM,1.5,15,0.11,ok,2,"153,183","120,210"
M2,WERM,1.5,16,0.11666666666666667,ok,2,"155,187","120,210"
M2,WERM,1.5,17,0.1,ok,2,"150,182","120,210"
M2,WERM,1.5,18,0.13333333333333333,ok,2,"160,194","120,210"
M2,WERM,1.5,19,0.10333333333333333,ok,2,"151,182","120,210"
M2,WERM,1.5,20,0.12333333333333334,ok,2,"143,173","120,210"
M2,WERM,1.5,21,0.10666666666666667,ok,2,"152,182","120,210"
M2,WERM,1.5,22,0.10666666666666667,ok,2,"142,178","120,210"
M2,WERM,1.5,23,0.11666666666666667,ok,2,"155,192","120,210"
M2,WERM,1.5,24,0.14666666666666667,ok,2,"130,166","120,210"
M2,WERM,1.5,25,0.18,ok,2,"123,156","120,210"
M2,WERM,1.5,26,0.11333333333333333,ok,2,"141,176","120,210"
