experiment,method,delta_ratio,mean_hausdorff,median_hausdorff,p25_hausdorff,p75_hausdorff,num_trials,mean_predicted_num_chgpts,median_predicted_num_chgpts,p25_predicted_num_chgpts,p75_predicted_num_chgpts,num_infinite_hausdorff,num_nan_hausdorff,num_finite_hausdorff
M2,WERM,0.5,0.35733333333333334,0.36,0.32,0.3775,30,2.0,2.0,2.0,2.0,0,0,30
M2,WERM,1.5,0.1272222222222222,0.11833333333333333,0.11,0.1325,30,2.0,2.0,2.0,2.0,0,0,30
M2,WERM,2.5,0.07626666666666666,0.055,0.0405,0.1235,30,2.0,2.0,2.0,2.0,0,0,30
M2,WERM,3.5,0.028714285714285713,0.027142857142857142,0.008928571428571428,0.039642857142857146,30,2.0,2.0,2.0,2.0,0,0,30
M2,WERM,4.5,0.019555555555555555,0.006111111111111111,0.0033333333333333335,0.015,30,2.0,2.0,2.0,2.0,0,0,30
M2,WERM,5.5,0.009424242424242424,0.005454545454545455,0.0018181818181818182,0.013409090909090909,30,2.0,2.0,2.0,2.0,0,0,30
M2,WERM,6.5,0.012717948717948716,0.0026923076923076926,0.0015384615384615385,0.014423076923076924,30,2.0,2.0,2.0,2.0,0,0,30
M2,WERM,7.5,0.0033999999999999994,0.0013333333333333333,0.0013333333333333333,0.005,30,2.0,2.0,2.0,2.0,0,0,30
M2,WERM,8.5,0.007176470588235295,0.0038235294117647057,0.0017647058823529412,0.007647058823529412,30,2.0,2.0,2.0,2.0,0,0,30
M2,WERM,9.5,0.004982456140350877,0.0013157894736842105,0.0005263157894736842,0.004342105263157895,30,2.0,2.0,2.0,2.0,0,0,30
